Project Title,Type of Research,Project Description,Relevant Links,Key Words
"NIH - National Cancer Institute (NCI), National Institute of Allergy and Infectious Diseases (NIAID)",,"The purpose of the FOA is to establish Serological Sciences Research Projects with the goals of: identifying and advancing research opportunities to characterize the immune responses elicited by SARS-CoV-2 viral infection; understanding the mechanisms driving the serological, humoral and cellular immune responses; determining host, genetic, and environmental modifiers of the immune response; and determining the serological correlates of disease pathogenesis and protection against future infection; defining access, communication, and implementation barriers related to SARS-CoV-2 serological testing. These U01 Research Projects will be part of a Serological Sciences Network (SeroNet). Other components of the Network will include Serological Sciences Centers of Excellence (U54), the FNLCR Serology Laboratory, Serological Capacity Building Centers (CBC), and a Serological Sciences Network Coordinating Center (SSNCC), which will be managed through the Frederick National Lab for Cancer Research (FNLCR), a Federally Funded Research and Development Center. It may also include SBIR grants and other grants and contracts related to serology associated with SARS-CoV-2. All components are expected to collaborate across the entire Network, sharing data, results, and reagents.",https://www.grants.gov/web/grants/view-opportunity.html?oppId=327513,Technology and Computer Science
NIH - National Center for Advancing Translational Sciences (NCATS),,"Applications will be accepted on a rolling basis from May 15, 2020 to January 25, 2022.
National Center for Advancing Translational Sciences (NCATS) is encouraging the submission of applications for Administrative Supplements (PA-18-591). NCATS is issuing this Notice of Special Interest (NOSI) to highlight the urgent need for research on the COVID-19. NCATS is especially interested in research in the use of microphysiological systems or tissue chips in collecting and examining data on the risks and outcomes for COVID-19 infection, and advance the translation of research findings into diagnostics, therapeutics, and vaccines. A multi-organ on chip approach is strongly encouraged though not required.",https://grants.nih.gov/grants/guide/notice-files/NOT-TR-20-016.html,Technology and Computer Science
NIH - National Center for Advancing Translational Sciences (NCATS),,"There are various due dates for the different award types. Check the solicitation for specific due dates.
National Center for Advancing Translational Sciences (NCATS) is issuing this Notice of Special Interest (NOSI) to highlight the urgent need for research on the 2019 novel Coronavirus (COVID-19). NCATS is particularly interested in projects focusing on the use of informatics solutions to diagnose cases and the use of CTSA-supported core resources (e.g., advanced scientific instruments, highly-specialized facilities, and regulatory expertise) to facilitate research on COVID-19 and advance the translation of research findings into diagnostics, therapeutics, and vaccines. NCATS is soliciting applications for Administrative Supplements to UL1, U01, and R21 awards (through PA-18-591), Collaborative Innovation Awards to U01 and R21 awards (through PAR-19-099 and PAR-19-100, respectively), and Competitive Revisions for UL1 awards for each of the non-administrative supplement awards (through PAR-19-337).",https://grants.nih.gov/grants/guide/notice-files/NOT-TR-20-011.html,Technology and Computer Science
"NIH - National Heart, Lung, and Blood Institute (NHLBI)",,"Applications will be accepted on a rolling basis through October 05, 2020
National Heart, Lung, and Blood Institute (NHLBI) is encouraging the submission of applications for either Administrative Supplements (PA-18-591) or Competitive Revisions (PA-18-935) to active grants to address research on Coronavirus Disease 2019 (COVID-19) and on biological effects of its causative agent, the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). Topics of specific interest to NHLBI include host response, associations with heart, lung, and blood (HLB) diseases, potential impacts on transfusion safety, and clinical outcomes of infected individuals.",https://grants.nih.gov/grants/guide/notice-files/NOT-HL-20-757.html,Biomedical
NIH - National Institute of Allergy and Infectious Diseases (NIAID),,"Applications will be accepted on a rolling basis, beginning on 04/30/2020.
The purpose of this Funding Opportunity Announcement (FOA) is to provide an expedited funding mechanism for research on Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) and Coronavirus Disease 2019 (COVID-19). NIAID is issuing this FOA in response to the declared public health emergency issued by the Secretary, HHS, for 2019 Novel Coronavirus (COVID-19). See guidelines for areas of high priority.",https://grants.nih.gov/grants/guide/pa-files/PAR-20-178.html,Technology and Computer Science
NIH - National Institute of Allergy and Infectious Diseases (NIAID),,"Applications will be accepted on a rolling basis through March 25, 2021.
National Institute of Allergy and Infectious Diseases (NIAID) is encouraging the submission of applications for Competitive Revisions (PA-20-135) to active grants to address research areas of interest including: Studies to identify optimal in vitroculture requirements and conditions; Development of reagents and assays for virus characterization; Studies to understand critical aspects of viral infection, replication, pathogenesis, and transmission; Studies to identify viral epitopes critical for binding neutralization; Studies to examine virus stability and persistence; Production of molecular clones of SARS-CoV-2, reporter viruses and recombinant viral proteins;Development of animal models of SARS-CoV-2 infection suitable for screening vaccine and therapeutic candidates and/or pathogenesis studies;Studies on the evolution and emergence of SARS-CoV-2 viruses including the identification of factors that affect viral host-range and virulence. Five more research areas on Notice.",https://grants.nih.gov/grants/guide/notice-files/NOT-AI-20-034.html,Other
NIH - National Institute of Allergy and Infectious Diseases (NIAID),,"The purpose of this Funding Opportunity Announcement (FOA) is to solicit research applications for milestone-driven projects focused on preclinical development of lead candidate therapeutics, vaccines and related countermeasures against select NIAID Emerging Infectious Diseases/Pathogens. Applications must include a Product Development Strategy attachment and demonstrate substantive investment by at least one industrial participant.",https://grants.nih.gov/grants/guide/rfa-files/RFA-AI-20-028.html,Other
NIH - National Institute of Biomedical Imaging and Bioengineering (NIBIB),,"Applications will be accepted on a rolling basis through March 30, 2021.
The National Institute of Biomedical Imaging and Bioengineering (NIBIB) is issuing this Notice of Special Interest (NOSI) to highlight the urgent need for accelerating the development, translation, and commercialization of technologies to address Coronavirus Disease 2019 (COVID-19). The NIBIB is seeking applications from current grantees to develop life-saving technologies that can be ready for commercialization within one to two years. Please see notice for examples of technologies. R01 - PA-19-056 - NIH Research Project Grant (Parent R01 Clinical Trial Not Allowed) - 1st Due Date - June 5, 2020 R01 - PA-18-418 - NIBIB Research Project Grant (R01 Clinical Trial Required) - 1st Due Date - June 5, 2020 R01 - PAR-18-530 - Academic-Industrial Partnerships for Translation of Technologies for Diagnosis &Treatment (R01-Clinical Trial Optional) - 1st Due Date - June 5, 2020 R01 - PAR-20-155 - Academic-Industrial Partnerships (AIP) to Translate and Validate In Vivo Imaging Systems (R01 Clinical Trial Optional) - 1st Due Date - June 5, 2020 R21 - PAR-20-084 - NIBIB Trailblazer Award for New and Early Stage Investigators (R21 Clinical Trial Optional) - 1st Due Date - June 16, 2020 R21 - PAR-18-433 - NIBIB Exploratory/Developmental Research Grant Program (R21 Clinical Trial Optional) - 1st Due Date - June 16, 2020 R03 - PA-19-052 - NIH Small Research Grant Program (Parent R03 Clinical Trial Not Allowed) - 1st Due Date - June 16, 2020",https://grants.nih.gov/grants/guide/notice-files/not-eb-20-007.html,Technology and Computer Science
NIH - National Institute of General Medical Sciences (NIGMS),,"Applications will be accepted on a rolling basis through February 5, 2021.
National Iinstitute of General Medical Sciences will accept the submission of applications for Competitive Revisions to active grants to address only the following research areas of interest: Incorporation of data related to SARS-CoV-2 into ongoing research efforts to develop predictive models for the spread of SARS-CoV-2 and other related infectious agents (all relevant grants). Repurposing or modification of diagnostic tools currently under development to enable rapid detection of SARS-CoV-2 infection (SBIR/STTR grants only). Rapid development of potential therapeutic agents for COVID-19 (SBIR/STTR only).",https://grants.nih.gov/grants/guide/notice-files/NOT-GM-20-025.html,Technology and Computer Science
NIH - National Institute of Health,,"Letter of intent (LOI) due date is 8/4/2020, but is not mandatory. Only 2 applications per institution. See the Limited Submission system to declare internal notice of intent.
The NIH Director's Early Independence Award (a component of the High-Risk, High-Reward Research program of the NIH Common Fund) provides an opportunity for exceptional junior scientists to accelerate their entry into an independent research career by forgoing the traditional post-doctoral training period. Though most newly graduated doctoral-level researchers would benefit from post-doctoral training, a small number of outstanding junior investigators are capable of launching directly into an independent research career. For those select junior investigators who have already established a record of scientific innovation and research productivity and have demonstrated unusual scientific vision and maturity, typical post-doctoral training would unnecessarily delay their entry into independent research. Due to the COVID-19 public health emergency, the Common Fund will dedicate funds provided by the CARES Act to support a total of 5-10 Early Independence Awards (through this FOA) or Transformative Research Awards (through RFA-RM-20-020) that bring new, innovative perspectives and approaches to the prevention of, preparation for, or response to coronavirus SARS-CoV-2, domestically or internationally. Any relevant area of coronavirus SARS-CoV-2 research is welcome, including behavioral/social science research, research on health disparities, novel therapeutics, and other related topics.",https://grants.nih.gov/grants/guide/rfa-files/RFA-RM-20-021.html,Technology and Computer Science
NIH - National Institute of Health - Muliple divisions,,"Letter of intent is due 07/08/2020, but not required. Only one application per institution is allowed. Please indicate interest in the VT Limited Submission System.
NIH is issuing this FOA in response to the declared public health emergency issued by the Secretary, HHS, for 2019 Novel Coronavirus (COVID-19). This emergency cooperative agreement funding opportunity announcement (FOA) from the National Institutes of Health (NIH) provides an expedited funding mechanism as part of the Rapid Acceleration of Diagnostics-Underserved Populations (RADx-UP) initiative, a consortium of community-engaged research projects to understand factors that have led to disproportionate burden of the pandemic on the underserved and/or vulnerable populations so that interventions can be implemented to decrease these disparities. This FOA seeks to fund a single Coordination and Data Collection Center (CDCC) as an integral part of the consortium.",https://grants.nih.gov/grants/guide/rfa-files/RFA-OD-20-013.html,Technology and Computer Science
NIH - National Institute of Health - Muliple divisions,,"The FOA is expected to be published in June 2020 with an expected application due date in July 2020.
The National Institute of Minority Health and Health Disparities (NIMHD), withthe other participating NIH Institutes, Centers, andOffices(ICOs),intends to promote a new initiative by publishing a Funding Opportunity Announcement (FOA) to solicit research to evaluatecommunity interventions testing 1) the impacts of mitigation strategies to prevent COVID-19 transmission in NIH-designated health disparity populations and other vulnerable groups; and 2) already implemented, new, or adapted interventions to address the adverse psychosocial, sociocultural, behavioral, and socioeconomic consequences of the pandemic on the health of these groups. This FOA will utilize the R01 activity code. Researchers will be encouraged to partner with community organizations, health service providers, public health agencies, policymakers, and other stakeholders to prepare and submit applications. This notice is provided to allow potential applicants sufficient time to develop meaningful collaborations and responsive applications.",https://grants.nih.gov/grants/guide/notice-files/NOT-MD-20-023.html,Other
NIH - National Institute of Health - Muliple divisions,,"Applications will be accepted on a rolling basis through March 31, 2021.
The following Institute/Centers :Office of Behavioral and Social Sciences Research (OBSSR), National Heart, Lung, and Blood Institute (NHLBI), National Institute on Aging (NIA), National Institute on Alcohol Abuse and Alcoholism (NIAAA), National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK), National Institute of Environmental Health Sciences (NIEHS), National Center for Complementary and Integrative Health (NCCIH) are encouraging the submission of applications for either Administrative Supplements (PA-18-591) or Competitive Revisions (PA-18-935) to active grants. This Notice of Special Interest (NOSI) highlights the urgent need for social, behavioral, economic, health communication, and epidemiologic research relevant to the 2019 Novel Coronavirus (SARS-CoV-2) and COVID-19. This NOSI encourages urgent competitive supplements and administrative supplements to existing longitudinal studies that address key social and behavioral questions related to the COVID-19 pandemic, including adherence to and transmission mitigation from various containment and mitigation efforts; social, behavioral, and economic impacts from these containment and mitigation efforts; and downstream health impacts resulting from these social, behavioral, and economic impacts,including differences in risk and resiliency based on gender, race and ethnicity, socioeconomic status, and other social determinants of health.",https://grants.nih.gov/grants/guide/notice-files/not-od-20-097.html,Technology and Computer Science
NIH - National Institute of Health - Muliple divisions,,"Applications will be accepted on a rolling basis from June 10, 2020 through December 15, 2020.
The COVID-19 pandemic and its associated mitigation strategies are expected to have significant psychosocial, behavioral, and socioeconomic impacts on health, which are exacerbated in populations that experience health disparities and other vulnerable groups, leading to disproportionately adverse consequences. Those experiencing health disparities prior to the COVID-19 pandemic are at increased risk of infection and other COVID-19 related consequences (e.g., job loss, unpaid leave, lost wages). Research is needed to test community interventions focused on the prevention (or slowing) of COVID-19 transmission, evaluate local and state policies and programs intended to mitigate COVID-19 exposure and improve adherence, and reduce the negative impact of the multifaceted consequences on the health of populations who experience health disparities and other vulnerable groups. This work may includeleveraging and scaling existing resources (e.g., health education materials, technology, social media, mass media, social support networks, social services). In domains and populations in which the evidence base is limited, the development, testing, and implementation of novel or adapted interventions to address the negative health consequences of the COVID-19 pandemic (including the unintended health consequences of population-level interventions) may also be needed to address the unique needs of populations. See guidelines for research objectives.",https://grants.nih.gov/grants/guide/notice-files/not-md-20-022.html,Other
NIH - National Institute of Health - Muliple divisions,,"Applications will be accepted on a rolling basis from June 10, 2020 through December 15, 2020.
This Notice of Special Interest (NOSI) highlights interest in research to strengthen the healthcare response to Coronavirus Disease 2019 (COVID-19) caused by the Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) and to future public health emergencies, including pandemics. While the direct clinical effects of COVID-19 are supported by other funding opportunities, the purpose of this NOSI is to support research to address secondary health effects of the social, behavioral, and economic changes, particularly among populations who experience health disparities and vulnerable populations through the use of digital health assessments and interventions to yield measurable near-term impact. In order to significantly improve near term impact of treatment and identification of individuals at risk for, or experiencing worsening health secondary to the COVID-19 pandemic across the full lifespan, supplements will focus particularly on NIH-designated health disparity (racial/ethnic minorities, less privileged socioeconomic status, rural residents and sexual and gender minorities) and other populations with medical or social vulnerabilities. The latter include residents of chronic care facilities, community-dwelling older adults, pregnant women, children, individuals with cognitive impairment or dementia, homeless, and those incarcerated or involved with the criminal justice system, individuals with substance use disorder or severe mental illness, those who are deaf or with visual, hearing, communication, or mobility impairment, and uninsured individuals. See guidelines for research objectives.",https://grants.nih.gov/grants/guide/notice-files/not-mh-20-053.html,Other
NIH - National Institute of Health - Muliple divisions,,"Applications may be submitted beginning on July 8, 2020 for the Application Due Date on August 7, 2020.
This Notice of Special Interest (NOSI) highlights the urgent need to understand and address COVID-19 morbidity and mortality disparities among underserved and vulnerable populations across the United States. These two-year community-engaged Testing Research Projects will examine SARS-CoV-2 infection patterns and efforts to increase access and effectiveness of diagnostic methods through the Rapid Acceleration of Diagnostics for Underserved Populations (RADx-UP) initiative. The overarching goal is to understand factors that have led to disproportionate burden of the pandemic on these underserved populations so that interventions can be implemented to decrease these disparities.",https://grants.nih.gov/grants/guide/notice-files/NOT-OD-20-121.html,Technology and Computer Science
NIH - National Institute of Health - Muliple divisions,,"There are various due dates for the different award types. Check the solicitation for specific due dates.
The National Institutes of Health (NIH) hereby notify Principal Investigators holding specific types of NIH research grants, listed in the full Funding Opportunity Announcement (FOA) that funds may be available for competitive revisions to meet immediate needs to help address a specific public health crisis in a timely manner, but that were unforeseen when the new or renewal application or grant progress report for non-competing continuation support was submitted. Applications for Urgent Competitive Revisions will be routed directly to the NIH awarding component listed on the NoA of the most recent parent award.",https://grants.nih.gov/grants/guide/pa-files/PA-18-935.html,Technology and Computer Science
NIH - National Institute on Drug Abuse (NIDA),,"Applications will be accepted on a rolling basis through March 31, 2021.
National Institute on Drug Abuse (NIDA) is encouraging the submission of applications for either Administrative Supplements (PA-18-591) or Competitive Revisions (PA-18-935) to active grants to address research collecting and examining data on the risks and outcomes for COVID-19 infection in individuals suffering from substance use disorders.",https://grants.nih.gov/grants/guide/notice-files/NOT-DA-20-047.html,Technology and Computer Science
National Aeronautics and Space Administration (NASA),,"Applications will be accepted on a rolling basis through March 29, 2021.
Current Principal investigators within NASA's Earth Science Division (ESD) Research and Analysis (R&A), Applied Sciences Program (ASP), and Earth Science Data Systems Program (ESDS) have begun to reach out to their program managers to explore and/or ask about the possibility of redirecting existing efforts and/or requesting additional support to utilize NASA products to address the environmental, economic, and/or societal impacts of the COVID-19 pandemic. Relative to potential requests for new and/or additional support, NASA's Earth Science Division (ESD) would like to call the attention of the Earth Science research, applications, and data systems communities to Program Element A.28 ""Rapid Response and Novel Research in Earth Science"" (RRNES) of Research Opportunities in Space and Earth Sciences (ROSES) 2020 as an opportunity to propose investigations making innovative use of NASA satellite data to address regional-to-global environmental, economic, and/or societal impacts of the COVID-19 pandemic.",https://nspires.nasaprs.com/external/viewrepositorydocument/cmdocumentid=742447/solicitationId=%7B3F3DFBFB-8FEE-F317-63FD-CB84ECA833EC%7D/viewSolicitationDocument=1/RRNES_NSPIRES%20note_v4.pdf,Technology and Computer Science
National Science Foundation (NSF),,"The Rapid Response Research (RAPID) funding mechanism, which allows NSF to receive and review proposals having a severe urgency with regard to availability of or access to data, facilities or specialized equipment as well as quick-response research on natural or anthropogenic disasters and similar unanticipated events. Requests for RAPID proposals may be for up to $200K and up to one year in duration.",https://www.nsf.gov/pubs/2020/nsf20052/nsf20052.jsp,Technology and Computer Science
National Science Foundation (NSF),,"Accepting proposals to conduct non-medical, non-clinical-care research that can be used immediately to better understand how to model and understand the spread of COVID-19; to inform and educate about the science of virus transmission and prevention; and to encourage the development of processes and actions to address this global challenge. Through this DCL, the Office of Advanced Cyberinfrastructure (OAC) within the Directorate for Computer and Information Science and Engineering is inviting RAPID proposals and supplemental funding requests to existing awards that address COVID-19 challenges through data and/or software infrastructure development activities.",https://www.nsf.gov/pubs/2020/nsf20055/nsf20055.jsp,Other
Oak Ridge National Laboratory (ORNL),,"The Department of Energy Basic Energy Sciences advanced neutron sources will provide remote rapid access to advanced user facilities to support research into the COVID-19 virus and the search for effective diagnostics and therapies. Facilities that will be made available at the Spallation Neutron Source (SNS) and High Flux Isotope Reactor (HFIR) at Oak Ridge National Laboratory (ORNL), include neutron macromolecular crystallography, small-angle scattering, reflectometry, spectroscopy and imaging beamlines. All users must be registered and their home institution must have an active User Agreement. Faculty should contact ospcontracts@vt.edu for assistance if they wish to request access. No need to enter the request in Summit.",https://neutrons.ornl.gov/covid-19,Technology and Computer Science
Amazon,,"AWS has committed $20 million over the next year to accelerate research, innovation, and development to speed our collective understanding and detection of COVID-19 and other innovate diagnostic solutions to mitigate future infectious disease outbreaks. Funding will be provided through a combination of AWS in-kind credits and technical support to assist our customers' research teams in harnessing the full potential of the cloud to tackle this challenge.",https://aws.amazon.com/government-education/nonprofits/disaster-response/diagnostic-dev-initiative/,Technology and Computer Science
Biomedical Advanced Research and Development Authority (BARDA),,We are now seeking abstract submissions for the following: AOI #4.1-B: Point-of-Care Diagnostic Assay for detection of SARS-CoV-2 virus AOI #4.1-C: Diagnostic Tests for detection of COVID-19 disease AOI #4.3: COVID-19 Vaccine AOI #4.4: Advanced Manufacturing Technologies,https://beta.sam.gov/opp/81096f9277ff42bc840e2541cc1a1573/view,Technology and Computer Science
Brookhaven National Laboratory (BNL),,The Center for Biomolecular Structure team is supporting remote macromolecular crystallography experiments at Beamlines 17-ID-1 (AMX) and 17-ID-2 (FMX) for research projects related to COVID-19. All users must be registered and their home institution must have an active User Agreement. Faculty should contact ospcontracts@vt.edu for assistance if they wish to request access. No need to enter the request in Summit.,https://www.bnl.gov/ps/,Technology and Computer Science
Department of Energy (DOE),,"Department of Energy (DOE) has unique capabilities that the scientific community may leverage for the COVID-19 response and recovery. The Department encourages you to consider scientific questions that underpin COVID-19 response and that the research community may answer using DOE user facilities, computational resources, and enabling infrastructure. Please send research questions that the scientific community may address with DOE resources by email to SC.DCL@ science.doe.gov",https://science.osti.gov/-/media/sc-1/pdf/COVID-19-letter.pdf?la=en&hash=2A142317F56F185FC3E2CEF0AEAD6CACB3E70C7F,Technology and Computer Science
Department of State; U.S. Mission to India,,"This funding opportunity seeks to support effective coalitions that will bolster and leverage U.S.-India collaboration across a range of fields to fight COVID-19, in India and globally. Potential grantees should be able to implement a small-grants program to promote innovation in addressing COVID-19, encourage partnerships between U.S. and Indian institutions and organizations in combating COVID-19, and facilitate joint action that makes a difference against the disease. The grant will provide resources for a grantee to manage and administer small grants to stakeholders from government organizations, non-profits, think tanks, academic institutions, incubators and accelerators, in close coordination with the U.S. Mission to India. See guidelines for project areas.",https://www.grants.gov/web/grants/view-opportunity.html?oppId=326595,Other
Environmental Protection Agency (EPA),,"EPA is working to improve the environment and public health conditions of low-income and minority communities through our daily efforts to ensure all Americans have clean air, safe water, and access to information to make decisions to protect personal and public health. As part of these efforts, EPA has re-opened the State Environmental Justice Cooperative Agreement Program (SEJCA) and expanded its availability to include states, local governments, tribes and territories. EPA is giving a special consideration to those applications aimed at addressing the impacts of the COVID-19 pandemic on urban and rural low income and minority communities. EPA anticipates making five awards in amounts of up to $200,000 per award for a two-year project period. EPA encourages applicants to develop innovative plans and processes to conduct effective outreach to underserved communities in the midst of social-distancing and local stay-at-home orders, especially in places where internet access may not be readily available to all residents.",https://www.epa.gov/environmentaljustice/state-environmental-justice-cooperative-agreement-program#tab-2,Other
FastGrants,,"The review starts on 4/12/2020, but FastGrants will continue to review applications after that date.
If you are a scientist at an academic institution currently working on a COVID-19 related project and in need of funding, we invite you to apply for a Fast Grant. Fast Grants are $10k to $500k and decisions are made in under 48 hours. If we approve the grant, you'll receive payment as quickly as your university can receive it.",https://fastgrants.org/,Technology and Computer Science
Health Effects Institute (HEI),,"Mandatory letter of intent (LOI) due June 8th. Applicants will be informed whether or not to submit a full application by early July. HEI may contact the applicant to advise him or her about how to make the application more responsive to the specific objectives of the RFA.
Request for Applications 20-1B solicits applications for research on novel and important aspects of the intersection of exposure to air pollution and COVID-19 health outcomes. Applicants will be asked to submit a detailed letter of intent, followed by an invited full application, using an expedited application review process. HEI is particularly interested in applications that address the following questions: (1) Accountability research: What are the effects of the unprecedented interventions taken to control the COVID-19 pandemic on emissions, air pollution, and human health? (2) Susceptibility factors: Are individuals/populations who have been chronically or acutely exposed to higher levels of air pollution at greater risk of mortality from COVID-19 compared to those exposed to lower levels of air pollution? Do the effects differ by race/ethnicity or by measures of socioeconomic status?",https://www.healtheffects.org/research/funding/rfa-20-1b-air-pollution-covid-19-and-human-health,Technology and Computer Science
Kaggle,,"The White House and a coalition of leading research groups have prepared the COVID-19 Open Research Dataset (CORD-19). CORD-19 is a resource of over 45,000 scholarly articles, including over 33,000 with full text, about COVID-19, SARS-CoV-2, and related coronaviruses. Develop text and data mining tools that can help the medical community develop answers to high priority scientific questions. The CORD-19 dataset represents the most extensive machine-readable coronavirus literature collection available for data mining to date.",https://www.kaggle.com/allen-institute-for-ai/CORD-19-research-challenge,Technology and Computer Science
