Project Title,Source,Project Description
State Environmental Justice Cooperative Agreement Program (SEJCA)/ COVID-19 Projects,Virginia Tech,"EPA is working to improve the environment and public health conditions of low-income and minority communities through our daily efforts to ensure all Americans have clean air, safe water, and access to information to make decisions to protect personal and public health. As part of these efforts, EPA has re-opened the State Environmental Justice Cooperative Agreement Program (SEJCA) and expanded its availability to include states, local governments, tribes and territories. EPA is giving a special consideration to those applications aimed at addressing the impacts of the COVID-19 pandemic on urban and rural low income and minority communities. EPA anticipates making five awards in amounts of up to $200,000 per award for a two-year project period. EPA encourages applicants to develop innovative plans and processes to conduct effective outreach to underserved communities in the midst of social-distancing and local stay-at-home orders, especially in places where internet access may not be readily available to all residents."
Partnerships for Countermeasures against Select Pathogens (R01 Clinical Trials Not Allowed),Virginia Tech,"Research applications for milestone-driven projects focused on preclinical development of lead candidate therapeutics, vaccines and related countermeasures against select National Institute of Allergy and Infectious Diseases (NIAID) Emerging Infectious Diseases/Pathogens."
"Notice of Special Interest (NOSI): Availability of Urgent Competitive Revision Supplements on Coronavirus Disease 2019 (COVID-19) Related to HIV Comorbidities, Coinfections, and Complications within NIDDK's Mission",Virginia Tech,"National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK) is issuing this Notice of Special Interest (NOSI) in response to the urgent need for research on how coinfection with Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2), the causative agent for Coronavirus Disease 2019 (COVID-19), might affect HIV-associated comorbidities, coinfections, and complications (CCCs) within its mission. NIDDK supports biomedical research on diabetes and other endocrine and metabolic diseases; digestive diseases, nutritional disorders, and obesity; and kidney, urologic, and hematologic diseases. For this funding opportunity announcement, NIDDK is interested in studies to elucidate if COVID-19 might provoke or exacerbate noncommunicable gastrointestinal, liver, kidney/urological and metabolic/endocrine diseases in people with HIV (PWH) or worsen the consequences of viral hepatitis coinfection. Conversely, it is also important to elucidate whether people with HIV (PWH) with CCCs within the mission of NIDDK have different COVID-19 outcomes. NIDDK encourages the submission of applications for Competitive Revisions to active grants to address many research areas."
NIH 3D Print Exchange,Virginia Tech,"Call for prototypes for testing and clinical review. This website accepts designs that are created to support the manufacturing of personal protective equipment (PPE) or other necessary medical devices that are in short supply due to the COVID-19 outbreak. While many can be printed with a 3D printer at home or your local Maker space, the National Institute of Health (NIH), Food and Drug Administration (FDA), Veterans Affairs (VA), America Makes, and the contributing creators cannot ensure the quality, safety, and efficacy of these designs when manufactured without proper quality controls and processes. This collection represents a coordinated effort among the FDA, VA, and America Makes to connect healthcare providers and 3D printing organizations."
Provisioning Advanced Cyberinfrastructure to Further Research on the Coronavirus Disease 2019 (COVID-19),Virginia Tech,"Accepting proposals to conduct non-medical, non-clinical-care research that can be used immediately to better understand how to model and understand the spread of COVID-19; to inform and educate about the science of virus transmission and prevention; and to encourage the development of processes and actions to address this global challenge. Through this DCL, the Office of Advanced Cyberinfrastructure (OAC) within the Directorate for Computer and Information Science and Engineering is inviting RAPID proposals and supplemental funding requests to existing awards that address COVID-19 challenges through data and/or software infrastructure development activities."
Stevens Initiative Coronavirus Response Fund,Virginia Tech,"The Stevens Initiative is providing resources to help education, exchange, and non-profit organizations in the United States and the Middle East and North Africa conduct virtual exchange programs to engage young people and educators affected by the pandemic. The Initiative views virtual exchange as programs that: use online technology to connect individuals and small groups between countries; are based on a curriculum or activity plan; involve qualified facilitators (such as educators or others); and involve sustained communication and collaboration synchronously (in real-time) or asynchronously over a period of time. The Initiative encourages proposals by consortia that include organizations with relevant and complementary experience, capacities, and networks. All organizations, including those that are not offered grants, are welcome and encouraged to participate in the Initiative’s virtual exchange programming training and mentorship sessions, which begin April 29."
DRL FY19 Countering Corruption amid COVID-19,Virginia Tech,"The U.S. Department of State, Bureau of Democracy, Human Rights and Labor (DRL) announces an open competition for organizations interested in submitting applications in support of the goal of combatting corruption arising in response to the COVID-19 pandemic. Countries around the world are grappling with unprecedented challenges as they tackle the COVID-19 pandemic. While the first responsibility of every government is to care for its people, an effective response to a public health crisis like COVID-19 requires government transparency and accountability, the full participation of civil society, and access to information. Corruption in particular thrives during times of crisis and makes governments and the international community less able to respond swiftly and effectively."
COVID-19 Small Grants Program,Virginia Tech,"This funding opportunity seeks to support effective coalitions that will bolster and leverage U.S.-India collaboration across a range of fields to fight COVID-19, in India and globally. Potential grantees should be able to implement a small-grants program to promote innovation in addressing COVID-19, encourage partnerships between U.S. and Indian institutions and organizations in combating COVID-19, and facilitate joint action that makes a difference against the disease. The grant will provide resources for a grantee to manage and administer small grants to stakeholders from government organizations, non-profits, think tanks, academic institutions, incubators and accelerators, in close coordination with the U.S. Mission to India. See guidelines for project areas."
Removal Emergency Response Program,Virginia Tech,"The recipient will provide the necessary framework for the participation of individual State and territorial programs in research activities with the mission of advocating for and supporting State emergency response and removal action programs, to enhance these programs' readiness capabilities to perform emergency response and removal actions that address immediate risks to human health and the environment resulting from the release or potential release of hazardous substances. This will help to enhance the partnership between the States and EPA in implementation of emergency response and removal actions, as well as to facilitate effective transition of sites to States for further actions. Cost of 5% total project cost is required."
Notice of Special Interest (NOSI) regarding the Availability of Emergency Competitive Revisions for Research on Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) and Coronavirus Disease 2019 (COVID-19),Virginia Tech,"Applications will be accepted on a rolling basis through March 25, 2021.
National Institute of Allergy and Infectious Diseases (NIAID) is encouraging the submission of applications for Competitive Revisions (PA-20-135) to active grants to address research areas of interest including: Studies to identify optimal in vitroculture requirements and conditions; Development of reagents and assays for virus characterization; Studies to understand critical aspects of viral infection, replication, pathogenesis, and transmission; Studies to identify viral epitopes critical for binding neutralization; Studies to examine virus stability and persistence; Production of molecular clones of SARS-CoV-2, reporter viruses and recombinant viral proteins;Development of animal models of SARS-CoV-2 infection suitable for screening vaccine and therapeutic candidates and/or pathogenesis studies;Studies on the evolution and emergence of SARS-CoV-2 viruses including the identification of factors that affect viral host-range and virulence. Five more research areas on Notice."
Partnerships for Countermeasures against Select Pathogens (R01 Clinical Trials Not Allowed),Virginia Tech,"The purpose of this Funding Opportunity Announcement (FOA) is to solicit research applications for milestone-driven projects focused on preclinical development of lead candidate therapeutics, vaccines and related countermeasures against select NIAID Emerging Infectious Diseases/Pathogens. Applications must include a Product Development Strategy attachment and demonstrate substantive investment by at least one industrial participant."
Dear Colleague Letter: Request for SBIR/STTR Phase I Proposals Addressing COVID-19,Virginia Tech,"Development and deployment of new technologies, products, processes, and services with the potential to positively impact the nation's and world's ability to respond to the COVID-19 crisis. Areas of research that might be considered include, but are not limited to: artificial intelligence, digital health, diagnostics, distributed ledger, environmental technologies, medical devices, pharmaceutical technologies, disinfection and sterilization, and filtration and separations."
COVID-19 Related Research Grants,Virginia Tech,"They will review applications received by May 4th, again on May 18th, and again on June 8th.
The COVID-19 Related Research Grants support education research projects that will contribute to understanding the rapid shifts in education in this time of crisis and change. We are especially interested in supporting two primary categories of projects. First, we are interested in supporting studies that aim to understand and disrupt the reproduction and deepening of educational inequality caused by the COVID-19 crisis. Second, we also recognize that in times of great disruption and change, there may be opportunities to remake and imagine anew forms of equitable education. Thus, we are also interested in research projects that are working to reimagine educational opportunities in these times."
