Project Title,Type of Research,Project Description,Key Words
Notice of Special Interest (NOSI) regarding the Availability of Emergency Competitive Revisions to Existing NIH Grants and Cooperative Agreements for Tissue Chips Research on the 2019 Novel Coronavirus,Tissue Chips,"Applications will be accepted on a rolling basis from May 15, 2020 to January 25, 2022.
National Center for Advancing Translational Sciences (NCATS) will accept the submission of applications for Competitive Revisions to active grants to address only the following research areas of interest: 1) Incorporation of new and emerging data related to SARS-CoV-2 into ongoing research efforts to develop microphysiological systems/tissue chips models for COVID-19, 2) Use of microphysiological systems/tissue chips or evaluating, repurposing or modification of diagnostic tools to enable rapid detection of COVID-19 infection, 3) Use of microphysiological systems/tissue chips for the rapid development and assessment of potential therapeutic agents for COVID-19.",Technology and Computer Science
Notice of Special Interest (NOSI): Availability of Administrative Supplements and Urgent Competitive Revisions for Research on Stress Management in Relation to Coronavirus Disease 2019 (COVID-19),Complementary and Integrative Health,"Applications will be accepted on a rolling basis through October 06, 2020.
National Center for Complementary and Integrative Health (NCCIH): is issuing this Notice of Special Interest (NOSI) to highlight the urgent need for research on the 2019 Novel Coronavirus (2019-nCoV, also known as COVID-19). Topics of specific interest for this NOSI include research on stress management strategies, including mind and body approaches, that individuals may engage in remotely to address stressors related to social distancing, as well as to address recovery and recurrence of symptoms during and after COVID-19 infections. To better understand the impact of stress management strategies in the context of the COVID-19 pandemic, NCCIH is encouraging the submission of applications for Administrative Supplements or Competitive Revisions to active grants. Applicants should propose research that can be completed remotely, without any in-person contact between study staff and research participants. Interventions proposed for study should already be fully developed and ready for immediate testing. For the areas of research interest please see notice.",Technology and Computer Science
Collaborative Cross (CC) Mouse Model Generation and Discovery of Immunoregulatory Mechanisms (R21 Clinical Trial Not Allowed),Epidemiology/Biomedical,Support the use of Collaborative Cross (CC) mouse lines to advance understanding of the host genetics involved in immune regulation and function and to further develop CC mouse lines that more faithfully reproduce human immune responses.,Technology and Computer Science
Emergency Awards: Rapid Investigation of Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) and Coronavirus Disease 2019 (COVID-19) (R21 Clinical Trial Not Allowed),Epidemiology/Biomedical,"Applications will be accepted on a rolling basis, beginning on 04/30/2020.
The purpose of this Funding Opportunity Announcement (FOA) is to provide an expedited funding mechanism for research on Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) and/or Coronavirus Disease 2019 (COVID-19). NIAID is issuing this FOA in response to the declared public health emergency issued by the Secretary, HHS, for 2019 Novel Coronavirus (COVID-19). See guidelines for areas of high priority.",Technology and Computer Science
Partnerships for Countermeasures against Select Pathogens (R01 Clinical Trials Not Allowed),Epidemiology/Biomedical,"Research applications for milestone-driven projects focused on preclinical development of lead candidate therapeutics, vaccines and related countermeasures against select National Institute of Allergy and Infectious Diseases (NIAID) Emerging Infectious Diseases/Pathogens.",Other
Notice of Special Interest (NOSI): Availability of Emergency Competitive Revision and Administrative Supplements on Biomedical Technologies for Coronavirus Disease 2019 (COVID-19),Biomedical Technologies,"Applications will be accepted on a rolling basis through November 10, 2020
The National Institute of Biomedical Imaging and Bioengineering (NIBIB) is issuing this Notice of Special Interest (NOSI) to highlight the urgent need for accelerating the development, translation, and commercialization of technologies to address Coronavirus Disease 2019 (COVID-19). The NIBIB is seeking applications from current grantees to develop life-saving technologies that can be ready for commercialization within one to two years. Please see notice for examples of technologies.",Technology and Computer Science
"Notice of Special Interest (NOSI): Availability of Urgent Competitive Revision Supplements on Coronavirus Disease 2019 (COVID-19) Related to HIV Comorbidities, Coinfections, and Complications within NIDDK's Mission",Various,"National Institute of Diabetes and Digestive and Kidney Diseases (NIDDK) is issuing this Notice of Special Interest (NOSI) in response to the urgent need for research on how coinfection with Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2), the causative agent for Coronavirus Disease 2019 (COVID-19), might affect HIV-associated comorbidities, coinfections, and complications (CCCs) within its mission. NIDDK supports biomedical research on diabetes and other endocrine and metabolic diseases; digestive diseases, nutritional disorders, and obesity; and kidney, urologic, and hematologic diseases. For this funding opportunity announcement, NIDDK is interested in studies to elucidate if COVID-19 might provoke or exacerbate noncommunicable gastrointestinal, liver, kidney/urological and metabolic/endocrine diseases in people with HIV (PWH) or worsen the consequences of viral hepatitis coinfection. Conversely, it is also important to elucidate whether people with HIV (PWH) with CCCs within the mission of NIDDK have different COVID-19 outcomes. NIDDK encourages the submission of applications for Competitive Revisions to active grants to address many research areas.",Other
Notice of Special Interest (NOSI): NIEHS Support for Understanding the Impact of Environmental Exposures on Coronavirus Disease 2019 (COVID-19),Environmental Health Sciences,"Applications will be accepted on a rolling basis through May 4, 2021.
National Institute of Environmental Health Sciences (NIEHS) seeks to promote rapid understanding of the potential contributions of current and past exposure to environmental agents that may exacerbate COVID-19 susceptibility, disease severity, and progression. Examples of environmental exposures relevant to the NIEHS mission include: toxic chemicals, air pollutants, second hand tobacco smoke, e-cigarette vapors, metals, and other environmental chemical exposures that may impact health outcomes. In addition, some health outcomes that are linked to environmental exposures (asthma, diabetes, and other pulmonary, cardiovascular, and metabolic diseases) are also risk factors for COVID-19. NIEHS is accepting applications addressing COVID-19 through the administrative supplement (PA-18-591), urgent competitive revision (PA-18-935), and time-sensitive mechanisms (RFA-ES-19-011).",Technology and Computer Science
NIH 3D Print Exchange,3D Printing,"Call for prototypes for testing and clinical review. This website accepts designs that are created to support the manufacturing of personal protective equipment (PPE) or other necessary medical devices that are in short supply due to the COVID-19 outbreak. While many can be printed with a 3D printer at home or your local Maker space, the National Institute of Health (NIH), Food and Drug Administration (FDA), Veterans Affairs (VA), America Makes, and the contributing creators cannot ensure the quality, safety, and efficacy of these designs when manufactured without proper quality controls and processes. This collection represents a coordinated effort among the FDA, VA, and America Makes to connect healthcare providers and 3D printing organizations.",Other
"Notice of Additional Due Date and Additional “Areas of Focus Especially of Interest” of PAR-19-373 and PAR-19-384, ""Research on Biopsychosocial Factors of Social Connectedness and Isolation on Health, Wellbeing, Illness, and Recovery (R01)""",Behavioral and Social Sciences,"In Part 1 of both PARs, under Key Dates, an additional application due date of June 8, 2020, is added. This funding opportunity also has an additional due date of 03/17/2021.
The purpose of this Notice is to add a “third due date” and additional “areas of focus especially of interest” for PAR-19-373 and PAR-19-384 ""Research on Biopsychosocial Factors of Social Connectedness and Isolation on Health, Wellbeing, Illness, and Recovery (R01 Clinical Trials Not Allowed/Basic Experimental Studies with Humans Required),” between the two current due dates, March 17, 2020 and March 17, 2021.",Technology and Computer Science
Notice of Special Interest (NOSI): Competitive and Administrative Supplements for the Impact of COVID-19 Outbreak on Minority Health and Health Disparities,Various,"Applications will be accepted on a rolling basis from May 01, 2020 through May 01, 2021.
The National Institute on Minority Health and Health Disparities (NIMHD) is issuing this Notice of Special Interest (NOSI) to highlight the urgent need for research on the impact of the novel Coronavirus (SARS-CoV-2) pandemic causing COVID-19 disease outbreaks and the resulting disruptions on individual and social wellbeing, health services use, and health outcomes for NIH-designated health disparity populations.The National Institute of Mental Health (NIMH) will accept and consider support for applications for supplements and revisions to NIMH projects that fall within the scope of this announcement and are relevant to the mission and strategic priorities of the NIMH. Applications to examine how a disrupted workforce may adequately respond/adapt to and maintain services or provide additional care for new or worsening mental health needs where we anticipate health disparities will be most prominent will be seen as a high priority. The National Institute on Aging (NIA) will accept applications for supplements and revisions to NIA-supported projects that fall within the scope of this announcement and are relevant to the mission and strategic priorities of the NIA. Applications are encouraged that address the specific needs and circumstances of midlife and older adults, including, but not limited to, individuals with Mild Cognitive Impairment (MCI), Alzheimer's disease and Alzheimer's disease related dementias (AD/ADRD) and their healthcare providers and caregivers.",Technology and Computer Science
Urgent Competitive Revision to Existing NIH Grants and Cooperative Agreements (Urgent Supplement - Clinical Trial Optional),Various,"There are various due dates for the different award types. Check the solicitation for specific due dates.
The National Institutes of Health (NIH) hereby notify Principal Investigators holding specific types of NIH research grants, listed in the full Funding Opportunity Announcement (FOA) that funds may be available for competitive revisions to meet immediate needs to help address a specific public health crisis in a timely manner, but that were unforeseen when the new or renewal application or grant progress report for non-competing continuation support was submitted. Applications for Urgent Competitive Revisions will be routed directly to the NIH awarding component listed on the NoA of the most recent parent award.",Technology and Computer Science
Notice of Special Interest (NOSI) regarding the Availability of Administrative Supplements and Urgent Competitive Revisions for Research on the 2019 Novel Coronavirus,Various,"Applications will be accepted on a rolling basis through March 31, 2021.
National Institute on Drug Abuse (NIDA) is encouraging the submission of applications for either Administrative Supplements (PA-18-591) or Competitive Revisions (PA-18-935) to active grants to address research collecting and examining data on the risks and outcomes for COVID-19 infection in individuals suffering from substance use disorders.",Technology and Computer Science
Dear Colleague Letter on the Coronavirus Disease 2019 (COVID-19),Various,"The Rapid Response Research (RAPID) funding mechanism, which allows NSF to receive and review proposals having a severe urgency with regard to availability of or access to data, facilities or specialized equipment as well as quick-response research on natural or anthropogenic disasters and similar unanticipated events. Requests for RAPID proposals may be for up to $200K and up to one year in duration.",Technology and Computer Science
Provisioning Advanced Cyberinfrastructure to Further Research on the Coronavirus Disease 2019 (COVID-19),Data and Software Infrastructure,"Accepting proposals to conduct non-medical, non-clinical-care research that can be used immediately to better understand how to model and understand the spread of COVID-19; to inform and educate about the science of virus transmission and prevention; and to encourage the development of processes and actions to address this global challenge. Through this DCL, the Office of Advanced Cyberinfrastructure (OAC) within the Directorate for Computer and Information Science and Engineering is inviting RAPID proposals and supplemental funding requests to existing awards that address COVID-19 challenges through data and/or software infrastructure development activities.",Other
Rapid Access for COVID-19 Research,Resources from ORNL,"The Department of Energy Basic Energy Sciences advanced neutron sources will provide remote rapid access to advanced user facilities to support research into the COVID-19 virus and the search for effective diagnostics and therapies. Facilities that will be made available at the Spallation Neutron Source (SNS) and High Flux Isotope Reactor (HFIR) at Oak Ridge National Laboratory (ORNL), include neutron macromolecular crystallography, small-angle scattering, reflectometry, spectroscopy and imaging beamlines. All users must be registered and their home institution must have an active User Agreement. Faculty should contact ospcontracts@vt.edu for assistance if they wish to request access. No need to enter the request in Summit.",Technology and Computer Science
Rapid-Response Grants on Covid-19 and the Social Sciences,Social Sciences,"The SSRC’s Covid-19 Rapid-Response Grants thus support innovative research projects that deploy remote research methods to shed light on both the short- and potential long-term effects of Covid-19 across a range of issues. These include: 1) “Social distancing” and virtual social interaction, 2) Governance and democracy, 3) Public trust and (dis)information, 4) Social inequality and the pandemic’s disproportionate effects by race and ethnicity, 5) The lessons of past disasters, and responses to them, for the present, 6) The role of religious ideas, practices, and institutions in responding to the pandemic, 7) The workplace and labor markets, 8) Technology, surveillance, and ethics and 9) the uses of, and the limits to, modeling in responses to the pandemic’s effects and in scenario planning. The grants offer research support for up to six months toward research-related expenses. These include, but are not limited to, access to data sets, archives and relevant publications, costs related to conducting online research of various kinds, and research assistance. Awards will range from $2,000 to $5,000, with the possibility of slightly more support for collaborative projects of two or more researchers.",Technology and Computer Science
Stevens Initiative Coronavirus Response Fund,Virtual Exchange,"The Stevens Initiative is providing resources to help education, exchange, and non-profit organizations in the United States and the Middle East and North Africa conduct virtual exchange programs to engage young people and educators affected by the pandemic. The Initiative views virtual exchange as programs that: use online technology to connect individuals and small groups between countries; are based on a curriculum or activity plan; involve qualified facilitators (such as educators or others); and involve sustained communication and collaboration synchronously (in real-time) or asynchronously over a period of time. The Initiative encourages proposals by consortia that include organizations with relevant and complementary experience, capacities, and networks. All organizations, including those that are not offered grants, are welcome and encouraged to participate in the Initiative’s virtual exchange programming training and mentorship sessions, which begin April 29.",Other
Strategies To Prevent (STOP) Spillover,Zoonotic Viruses,"Due date is June 01, 2020 and the closing time is 1:00 pm EST.
Through STOP Spillover, the U.S. Agency for International Development (USAID) seeks to reduce the vulnerability of high-risk/low-capacity countries in Asia and Africa to (1) spillover of emerging zoonotic viruses from animal hosts (such as livestock or wildlife) to humans and (2) amplification and spread of these viruses once they have spilled over to humans. For the purposes of the STOP Spillover activity “wildlife” shall include terrestrial species that may act as a host or reservoir for the transmission of zoonotic pathogens to humans, and does not include captive zoo animals, fish and aquatic species, insects, plants, or domesticated animals such as dogs or cats.",Technology and Computer Science
DRL FY19 Countering Corruption amid COVID-19,Combatting Corruption,"The U.S. Department of State, Bureau of Democracy, Human Rights and Labor (DRL) announces an open competition for organizations interested in submitting applications in support of the goal of combatting corruption arising in response to the COVID-19 pandemic. Countries around the world are grappling with unprecedented challenges as they tackle the COVID-19 pandemic. While the first responsibility of every government is to care for its people, an effective response to a public health crisis like COVID-19 requires government transparency and accountability, the full participation of civil society, and access to information. Corruption in particular thrives during times of crisis and makes governments and the international community less able to respond swiftly and effectively.",Other
COVID-19 Small Grants Program,US-India Collaborations,"This funding opportunity seeks to support effective coalitions that will bolster and leverage U.S.-India collaboration across a range of fields to fight COVID-19, in India and globally. Potential grantees should be able to implement a small-grants program to promote innovation in addressing COVID-19, encourage partnerships between U.S. and Indian institutions and organizations in combating COVID-19, and facilitate joint action that makes a difference against the disease. The grant will provide resources for a grantee to manage and administer small grants to stakeholders from government organizations, non-profits, think tanks, academic institutions, incubators and accelerators, in close coordination with the U.S. Mission to India. See guidelines for project areas.",Other
Virginia Catalyst Announces Round 11 of Grant Funding,Biomedical/Epidemiology/Systems,"Now being accepted are letters of intent for Grant Round 11 to fund the development and commercialization of life science projects that address major unmet needs for improving human health and advancing Virginia's economy. While all life science projects will be accepted for Grant Round 11, given the impact of COVID-19, emphasis will be placed on projects within the areas of infectious disease, immunology, vaccine and drug discovery, and innovative service delivery models including telehealth and telemedicine. Funding innovative, collaborative, translational research projects that elevate the level of sponsored research at Virginia's universities and have the potential to create high value jobs in the Commonwealth. Grants range from $200,000 to $800,000.",Technology and Computer Science
The American Lung Association COVID-19 and Emerging Respiratory Viruses Research Award,Respiratory Threats,"There is an urgent need to better understand the pathobiology and clinical implications of severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2) viral infection that leads to the morbidity and mortality seen with COVID-19, as well as increase knowledge about the potential emerging threat of other novel respiratory viruses. We are looking for proposals to advance research against emerging respiratory pathogens like SARS-CoV-2. All research must directly be related to COVID-19 or other viral respiratory threats that may arise in the future.",Technology and Computer Science
"BARDA's Division of Research, Innovation & Ventures (DRIVe) Easy Broad Agency Announcement",Biomedical,We are now seeking abstract submissions for the following: AOI #4.1-B: Point-of-Care Diagnostic Assay for detection of SARS-CoV-2 virus AOI #4.1-C: Diagnostic Tests for detection of COVID-19 disease AOI #4.3: COVID-19 Vaccine AOI #4.4: Advanced Manufacturing Technologies,Technology and Computer Science
COVID-19 NSLS-II Rapid Access,Resources from BNL,The Center for Biomolecular Structure team is supporting remote macromolecular crystallography experiments at Beamlines 17-ID-1 (AMX) and 17-ID-2 (FMX) for research projects related to COVID-19. All users must be registered and their home institution must have an active User Agreement. Faculty should contact ospcontracts@vt.edu for assistance if they wish to request access. No need to enter the request in Summit.,Technology and Computer Science
CDMRP PRMRP Investigator-Initiated Research Award for Emerging Viral Diseases and Respiratory Health,Viral Dieases and Respiratory Health,"The pre-application is due 05/28/2020.
The vision of the FY20 PRMRP is to improve the health, care, and well-being of all military Service members, Veterans, and beneficiaries, and its mission is to encourage, identify, select, and manage medical research projects of clear scientific merit and direct relevance to military health. Thus, the proposed research must be relevant to active duty Service members, Veterans, military beneficiaries, and/or the American public. The PRMRP challenges the scientific and clinical communities to address at least one of the FY20 PRMRP Topic Areas of Emerging Viral Diseases and Respiratory Health with original ideas that foster new directions along the entire spectrum of research and clinical care. See page 3-5 of the full annoucement for focus areas.",Technology and Computer Science
Removal Emergency Response Program,Hazardous Waste,"The recipient will provide the necessary framework for the participation of individual State and territorial programs in research activities with the mission of advocating for and supporting State emergency response and removal action programs, to enhance these programs' readiness capabilities to perform emergency response and removal actions that address immediate risks to human health and the environment resulting from the release or potential release of hazardous substances. This will help to enhance the partnership between the States and EPA in implementation of emergency response and removal actions, as well as to facilitate effective transition of sites to States for further actions. Cost of 5% total project cost is required.",Other
COVID-19 HPC Consortium,High-Performance Computing,"No specific due date for submission. XSEDE will be reviewing the applications on a continous basis.
To request access to resources of the COVID-19 HPC Consortium, you must prepare a description, no longer than three pages, of your proposed work. To ensure your request is directed to the appropriate resource(s), your description should include the following sections.",Technology and Computer Science
IMLS CARES Act Grants for Museums and Libraries,Museums and Libraries,"This is a limited submission and the internal notice of intent is due on May 22, 2020 through the VT Limited Submission system.
As part of the nation’s response to the pandemic through the CARES Act, Institute of Museum and Library Services (IMLS) is funding direct grants to respond quickly, efficiently, and with significant impact to the national emergency. We welcome projects that will create opportunities for museums and libraries to support positive socio-economic change now and in a future reopened environment. This can be through preserving jobs, staff training and development, addressing the digital divide, planning for reopening, and providing technical support and capacity building for digital inclusion and engagement, prioritizing our highest-need communities.",Technology and Computer Science
Mozilla Open Source Support Program (MOSS) COVID-19 Solutions Fund,Open Source Technology,"Applications will be reviewed on a rolling basis.
Mozilla will provide awards of up to $50,000 each to open source technology projects which are responding to the COVID-19 pandemic in some way. As part of the COVID-19 Solutions Fund, we will accept applications that are hardware (e.g., an open source ventilator), software (e.g., a platform that connects hospitals with people who have 3D printers who can print parts for that open source ventilator), as well as software that solves for secondary effects of COVID-19 (e.g., a browser plugin that combats COVID related misinformation).",Technology and Computer Science
Notice of Intent: Revision Supplements to Existing AHRQ Grants and Cooperative Agreements to Address Health System Responsiveness to COVID-19,Biomedical,"The Funding Opportunity Annoucement will be released in April 2020 with submissions due in Mid-May 2020.
Agency for Healthcare Research and Quality intends to allow grantees with active AHRQ research grants to submit requests for competitive revision supplements to address timely health system and healthcare professional response to COVID-19. It is expected that competitive revision supplement requests will capitalize on the expertise of grant personnel and the institutional environment to expand the specific aims of the on-going research to develop high-impact new knowledge concerning COVID-19. Competitive revision supplements will be limited in duration (perhaps 12 months). The amount of supplemental funds that may be requested will be limited, and will be specified in the funding notice. AHRQ expects to make at least $2.5M available to fund meritorious revision supplements in FY2020.",Technology and Computer Science
Notice of Special Interest (NOSI) regarding the Availability of Administrative Supplements for Tissue Chips Research on the 2019 Novel Coronavirus,Tissue Chips,"Applications will be accepted on a rolling basis from May 15, 2020 to January 25, 2022.
National Center for Advancing Translational Sciences (NCATS) is encouraging the submission of applications for Administrative Supplements (PA-18-591). NCATS is issuing this Notice of Special Interest (NOSI) to highlight the urgent need for research on the COVID-19. NCATS is especially interested in research in the use of microphysiological systems or tissue chips in collecting and examining data on the risks and outcomes for COVID-19 infection, and advance the translation of research findings into diagnostics, therapeutics, and vaccines. A multi-organ on chip approach is strongly encouraged though not required.",Technology and Computer Science
Notice of Special Interest (NOSI): Clinical and Translational Science Award (CTSA) Program Applications to Address 2019 Novel Coronavirus (COVID-19) Public Heath Need,Informatics,"There are various due dates for the different award types. Check the solicitation for specific due dates.
National Center for Advancing Translational Sciences (NCATS) is issuing this Notice of Special Interest (NOSI) to highlight the urgent need for research on the 2019 novel Coronavirus (COVID-19). NCATS is particularly interested in projects focusing on the use of informatics solutions to diagnose cases and the use of CTSA-supported core resources (e.g., advanced scientific instruments, highly-specialized facilities, and regulatory expertise) to facilitate research on COVID-19 and advance the translation of research findings into diagnostics, therapeutics, and vaccines. NCATS is soliciting applications for Administrative Supplements to UL1, U01, and R21 awards (through PA-18-591), Collaborative Innovation Awards to U01 and R21 awards (through PAR-19-099 and PAR-19-100, respectively), and Competitive Revisions for UL1 awards for each of the non-administrative supplement awards (through PAR-19-337).",Technology and Computer Science
Notice of Special Interest (NOSI): Availability of Administrative Supplements and Revision Supplements on Coronavirus Disease 2019 (COVID-19),Biomedical,"Applications will be accepted on a rolling basis through October 05, 2020
National Heart, Lung, and Blood Institute (NHLBI) is encouraging the submission of applications for either Administrative Supplements (PA-18-591) or Competitive Revisions (PA-18-935) to active grants to address research on Coronavirus Disease 2019 (COVID-19) and on biological effects of its causative agent, the severe acute respiratory syndrome coronavirus 2 (SARS-CoV-2). Topics of specific interest to NHLBI include host response, associations with heart, lung, and blood (HLB) diseases, potential impacts on transfusion safety, and clinical outcomes of infected individuals.",Biomedical
Emergency Awards: Rapid Investigation of Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) and Coronavirus Disease 2019 (COVID-19) (R01 Clinical Trial Not Allowed),Epidemiology/Biomedical,"Applications will be accepted on a rolling basis, beginning on 04/30/2020.
The purpose of this Funding Opportunity Announcement (FOA) is to provide an expedited funding mechanism for research on Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) and Coronavirus Disease 2019 (COVID-19). NIAID is issuing this FOA in response to the declared public health emergency issued by the Secretary, HHS, for 2019 Novel Coronavirus (COVID-19). See guidelines for areas of high priority.",Technology and Computer Science
Notice of Special Interest (NOSI) regarding the Availability of Emergency Competitive Revisions for Research on Severe Acute Respiratory Syndrome Coronavirus 2 (SARS-CoV-2) and Coronavirus Disease 2019 (COVID-19),Epidemiology/Biomedical,"Applications will be accepted on a rolling basis through March 25, 2021.
National Institute of Allergy and Infectious Diseases (NIAID) is encouraging the submission of applications for Competitive Revisions (PA-20-135) to active grants to address research areas of interest including: Studies to identify optimal in vitroculture requirements and conditions; Development of reagents and assays for virus characterization; Studies to understand critical aspects of viral infection, replication, pathogenesis, and transmission; Studies to identify viral epitopes critical for binding neutralization; Studies to examine virus stability and persistence; Production of molecular clones of SARS-CoV-2, reporter viruses and recombinant viral proteins;Development of animal models of SARS-CoV-2 infection suitable for screening vaccine and therapeutic candidates and/or pathogenesis studies;Studies on the evolution and emergence of SARS-CoV-2 viruses including the identification of factors that affect viral host-range and virulence. Five more research areas on Notice.",Other
Partnerships for Countermeasures against Select Pathogens (R01 Clinical Trials Not Allowed),"Therapeutics, Vaccines","The purpose of this Funding Opportunity Announcement (FOA) is to solicit research applications for milestone-driven projects focused on preclinical development of lead candidate therapeutics, vaccines and related countermeasures against select NIAID Emerging Infectious Diseases/Pathogens. Applications must include a Product Development Strategy attachment and demonstrate substantive investment by at least one industrial participant.",Other
